,Rank,Features,Accuracy,Precision,Recall,F1 score,Learning_rate,Loss,Max_depth,Max_features,Min_samples_split,N_estimators
174,175,a,1.000,0.926,0.954,0.940,0.2,log_loss,,sqrt,3,25
175,176,a,1.000,0.926,0.954,0.940,0.2,log_loss,,sqrt,3,35
176,177,a,1.000,0.926,0.954,0.940,0.2,log_loss,,sqrt,3,45
177,178,a,1.000,0.926,0.954,0.940,0.2,log_loss,,sqrt,3,55
178,179,a,1.000,0.926,0.954,0.940,0.2,log_loss,,sqrt,3,65
179,180,a,1.000,0.926,0.954,0.940,0.2,log_loss,,sqrt,3,75
180,181,a,1.000,0.926,0.954,0.940,0.2,log_loss,,sqrt,3,85
181,182,a,1.000,0.926,0.954,0.940,0.2,log_loss,,sqrt,3,95
182,183,a,1.000,0.926,0.954,0.940,0.2,exponential,,sqrt,3,25
183,184,a,1.000,0.926,0.954,0.940,0.2,exponential,,sqrt,3,35
184,185,a,1.000,0.926,0.954,0.940,0.2,exponential,,sqrt,3,45
185,186,a,1.000,0.926,0.954,0.940,0.2,exponential,,sqrt,3,55
186,187,a,1.000,0.926,0.954,0.940,0.2,exponential,,sqrt,3,65
187,188,a,1.000,0.926,0.954,0.940,0.2,exponential,,sqrt,3,75
188,189,a,1.000,0.926,0.954,0.940,0.2,exponential,,sqrt,3,85
189,190,a,1.000,0.926,0.954,0.940,0.2,exponential,,sqrt,3,95
190,191,a,1.000,0.926,0.954,0.940,0.2,exponential,4.0,sqrt,3,45
191,192,a,1.000,0.926,0.954,0.940,0.2,exponential,4.0,sqrt,3,55
192,193,a,1.000,0.926,0.954,0.940,0.2,exponential,4.0,sqrt,3,65
193,194,a,1.000,0.926,0.954,0.940,0.2,exponential,4.0,sqrt,3,75
194,195,a,1.000,0.926,0.954,0.940,0.2,exponential,4.0,sqrt,3,85
195,196,a,1.000,0.926,0.954,0.940,0.2,exponential,4.0,sqrt,3,95
196,197,"a, e, n",1.000,0.936,0.947,0.939,0.1,log_loss,,sqrt,3,5
197,198,"a, e, n",1.000,0.936,0.947,0.939,0.1,log_loss,,sqrt,3,15
198,199,"a, e, n",1.000,0.936,0.947,0.939,0.1,log_loss,,sqrt,3,25
199,200,"a, e, n",1.000,0.936,0.947,0.939,0.1,log_loss,,sqrt,3,35
200,201,"a, e, n",1.000,0.936,0.947,0.939,0.1,log_loss,,sqrt,3,45
201,202,"a, e, n",1.000,0.936,0.947,0.939,0.1,log_loss,,sqrt,3,55
202,203,"a, e, n",1.000,0.936,0.947,0.939,0.1,log_loss,,sqrt,3,65
203,204,"a, e, n",1.000,0.936,0.947,0.939,0.1,log_loss,,sqrt,3,75
204,205,"a, e, n",1.000,0.936,0.947,0.939,0.1,log_loss,,sqrt,3,85
205,206,"a, e, n",1.000,0.936,0.947,0.939,0.1,log_loss,,sqrt,3,95
206,207,"a, e, n",1.000,0.936,0.947,0.939,0.2,log_loss,,sqrt,3,5
207,208,"a, e, n",1.000,0.936,0.947,0.939,0.2,log_loss,,sqrt,3,15
208,209,"a, e, n",1.000,0.936,0.947,0.939,0.2,log_loss,,sqrt,3,25
209,210,"a, e, n",1.000,0.936,0.947,0.939,0.2,log_loss,,sqrt,3,35
210,211,"a, e, n",1.000,0.936,0.947,0.939,0.2,log_loss,,sqrt,3,45
